skill,n_postings,median_salary,delta_vs_overall_pct
Distributed Systems,99,220000.0,22.22222222222222
APIs,98,207000.0,15.0
Fine-tuning,164,206500.0,14.722222222222223
CUDA,117,197000.0,9.444444444444445
PyTorch,302,196000.0,8.88888888888889
LLMs,125,190000.0,5.555555555555555
Kubernetes,123,187000.0,3.888888888888889
Agile,340,186500.0,3.6111111111111107
Problem Solving,314,181500.0,0.8333333333333334
Leadership,363,180000.0,0.0
Cloud,402,180000.0,0.0
Python,942,180000.0,0.0
Linux,320,179000.0,-0.5555555555555556
Research,363,177000.0,-1.6666666666666667
SQL,422,174500.0,-3.0555555555555554
Statistics,341,174000.0,-3.3333333333333335
Communication,365,173000.0,-3.888888888888889
LLM APIs,103,172000.0,-4.444444444444445
Git,295,168000.0,-6.666666666666667
Documentation,108,142000.0,-21.11111111111111
